latitude,longitude,bg_weight
40.84,28.1,0.043628908958899815
40.46,27.19,0.5473671495533304
39.67,29.37,0.014127873368062982
40.84,28.34,0.042595624947783794
40.85,28.31,2.7883302878506377e-05
41.07,29.35,0.002716738814915076
40.64,30.48,0.14859736958246794
41.1,28.72,0.46389851118383507
40.85,29.27,0.15919578042383442
40.89,29.23,0.007386888932280011
40.0,29.1,0.03195402100914113
39.66,28.62,0.09716399199878067
40.74,29.26,0.04699055789399742
40.73,30.22,0.2649446656731228
41.03,28.88,0.08866504178601464
40.08,29.34,0.002346843239654617
40.63,29.02,0.013678000475623509
40.21,28.78,0.0035396244012185774
41.0,27.98,0.77650795537736
39.76,29.39,0.03750610204701299
40.8,27.45,0.048962182275589794
40.74,30.18,0.012344128035616353
40.41,27.67,0.3652851873701777
40.71,30.59,0.005195413869563681
40.17,28.19,0.18556680443136397
40.76,27.69,0.21794030783145202
39.91,30.66,0.9489844516435292
40.59,27.03,0.7013987684564065
40.73,29.23,0.01277041044415117
40.73,29.21,7.6263824461131335e-06
40.28,29.2,0.08910311948873839
40.17,29.24,0.06407174573990204
40.78,28.11,0.09633172384575439
40.8,28.09,0.00015410082541700287
40.77,28.09,0.00023427668503916976
40.24,28.75,0.021746321186636997
39.82,30.53,0.06165527030859963
39.8,30.54,0.0001984141075522805
39.8,30.5,2.778831182004282e-05
40.3,27.59,0.24894967706503923
40.3,28.84,0.10069504282938868
39.7,29.35,0.022745462759433788
40.55,30.1,0.6061751236939749
41.16,28.88,0.03402182909024298
39.85,30.53,0.0017572951469004838
40.11,29.31,0.0069490131873489736
40.79,30.65,0.029660803425448412
40.81,29.47,0.011242542982576542
40.25,29.88,0.8594187464953502
39.82,30.53,0.0003852784075277782
39.84,28.95,0.5873358339439783
40.88,29.3,0.04305319548164621
39.96,28.49,0.7266311448815886
41.04,29.66,0.8372062651067786
41.08,29.35,0.0040949913421785
41.1,29.44,0.002487357097149312
40.94,29.62,0.02481501708760625
40.42,27.41,0.020609022808458444
40.52,27.22,0.18958839586724563
40.26,27.99,0.11347772806522094
39.67,27.52,0.6624791936531131
41.01,29.28,0.06983746258043289
40.82,28.71,0.21176201940782013
40.27,29.56,0.40777481713339014
40.83,27.92,0.05789686051008691
40.36,27.55,0.12612117113930332
41.16,29.4,0.12630955283713374
40.84,29.48,0.011746111026766703
40.06,28.99,0.23677886988419738
40.55,27.46,0.2844599957253352
39.64,29.53,0.05716252196512506
40.09,28.97,0.007217064701185993
40.55,27.02,0.08799837593958171
40.86,26.41,0.8870530690013337
39.87,28.72,0.17551049976970778
40.68,27.53,0.027114529539567167
40.78,28.78,0.20113954687350044
39.9,27.13,0.11794480534890217
40.29,28.06,0.1576409711489818
40.09,28.99,0.0031155357346887014
40.79,27.99,0.06375896330843867
40.01,28.76,0.037165307062802744
40.79,28.0,0.00016480021809384127
40.61,27.49,0.03321985984948783
40.84,27.71,0.011492169890322645
40.77,27.98,0.001476158397719196
39.97,29.15,0.1472560290383731
40.15,28.24,0.05961558510161025
40.11,27.58,0.2911823786564066
41.04,29.29,0.015046827474797131
39.61,29.02,0.8212532872022176
39.63,29.01,2.8572455997077917e-05
40.43,28.93,0.25164142093743325
39.63,29.04,0.00013188302183175793
39.62,28.97,0.0006494094732449884
40.4,28.15,0.37743058579078814
39.61,29.47,0.01623649464201804
40.43,28.54,0.09586680148606297
39.62,29.04,0.0004121490047430676
39.63,29.07,0.00023178879550689313
39.63,29.03,0.00014882148157768782
40.55,29.24,0.05564027743070299
40.49,29.16,0.032056207898592426
39.77,29.37,0.02099820101567418
40.83,27.83,0.028547362638330687
40.8,27.63,0.06247061063945636
40.1,28.91,0.08210429420589815
40.02,28.74,0.008999269752432038
39.63,29.04,0.001220465440025409
39.65,29.05,0.00030058830687806903
39.6,29.06,0.00023849409911569364
40.08,28.94,0.005199641049860704
39.62,29.16,0.018697312270040234
39.8,26.85,0.934408177081507
40.11,28.95,0.0030093900239727134
40.31,27.86,0.038195621820285686
41.13,28.9,0.01858485817395583
40.37,28.67,0.13767570272688534
40.6,27.73,0.12622361281186767
39.61,29.49,0.009497258648941687
40.06,28.47,0.5756830149764306
41.23,29.02,0.4236687452341603
40.52,27.6,0.1751952175604372
40.45,25.93,0.004733559687481126
40.21,28.78,0.0056781566128137895
40.44,27.26,0.2673905454007919
40.83,27.71,0.0062810297101379975
41.07,28.39,0.9329958246520732
40.89,27.32,0.6630754582120256
40.74,27.39,0.02762135897991036
39.83,28.89,0.23422331750021785
40.28,27.19,0.5312410743481315
40.43,28.53,0.005188610497767199
40.44,28.52,0.000962429548683974
40.02,26.14,0.6803351497077228
40.57,27.48,0.03727373773062104
40.52,27.45,0.01599518929990118
40.63,29.15,0.02431022179882336
40.18,28.74,0.017130787536976944
40.8,27.69,0.012764248080213592
40.81,27.68,0.0003385054228757234
40.33,28.51,0.20277442613633423
40.42,28.51,0.001223596263300042
39.61,29.46,0.004797580805098622
39.65,27.49,0.08800314014087085
40.89,30.41,0.8114871066828705
41.14,28.86,0.013168988391782155
40.72,30.66,0.015782222626605114
40.85,28.16,0.06085705761735305
40.73,27.63,0.07825542364049387
40.85,27.67,0.014584191354335085
40.78,30.87,0.017718724713580603
40.6,27.5,0.012076553515055655
41.06,29.31,0.008943068557755285
40.4,28.52,0.007622488039467967
40.45,30.34,0.7133397251241549
41.06,29.34,0.0028120697895150926
40.74,30.62,0.006236075741192781
40.96,27.97,0.22770348295889276
40.55,27.42,0.030649100542813335
40.3,29.12,0.050948154393527734
40.67,30.46,0.08788671010164051
40.69,30.49,0.0004277354127520949
41.17,28.9,0.016402095839860964
40.07,27.58,0.045917742099378045
40.12,27.5,0.00961926106948463
